individual,fitness values
[2, 6, 1, 2, 3, 4, 4, 5, 3, 6, 7, 2, 4, 5, 5, 6, 1, 7, 2, 5, 4, 3, 1, 4, 6, 1, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 1],[23.866667,7.924466,89.671905,95.398181]
[2, 6, 2, 2, 3, 4, 4, 5, 3, 6, 7, 2, 4, 5, 5, 6, 2, 7, 2, 5, 4, 3, 2, 4, 6, 2, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 2],[20.866667,7.924466,101.455407,94.887670]
[1, 6, 1, 1, 1, 1, 1, 1, 1, 6, 7, 1, 1, 1, 1, 6, 1, 7, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 7, 1, 6, 1, 1, 1, 1, 6, 7, 1, 1],[46.000000,7.924466,30.024780,98.910819]
[1, 6, 1, 1, 3, 4, 4, 5, 3, 6, 7, 1, 4, 5, 5, 6, 1, 7, 1, 5, 4, 3, 1, 4, 6, 1, 5, 1, 7, 5, 6, 3, 4, 1, 3, 6, 7, 1, 1],[31.366667,7.924466,79.967845,95.818601]
[2, 6, 2, 2, 2, 2, 2, 2, 2, 6, 7, 2, 2, 2, 2, 6, 2, 7, 2, 2, 2, 2, 2, 2, 6, 2, 2, 2, 7, 2, 6, 2, 2, 2, 2, 6, 7, 2, 2],[25.500000,7.924466,77.158788,96.868777]
[2, 6, 1, 2, 1, 4, 4, 5, 1, 6, 7, 2, 4, 5, 5, 6, 1, 7, 2, 5, 4, 1, 1, 4, 6, 1, 5, 2, 7, 5, 6, 1, 4, 2, 1, 6, 7, 2, 1],[29.200000,7.924466,74.291333,96.216894]
[3, 6, 3, 3, 3, 3, 3, 3, 3, 6, 7, 3, 3, 3, 3, 6, 3, 7, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 7, 3, 6, 3, 3, 3, 3, 6, 7, 3, 3],[18.666667,7.924466,104.730416,94.934211]
[2, 6, 1, 2, 3, 1, 1, 5, 3, 6, 7, 2, 1, 5, 5, 6, 1, 7, 2, 5, 1, 3, 1, 1, 6, 1, 5, 2, 7, 5, 6, 3, 1, 2, 3, 6, 7, 2, 1],[28.366667,7.924466,74.422667,96.338352]
[4, 6, 4, 4, 4, 4, 4, 4, 4, 6, 7, 4, 4, 4, 4, 6, 4, 7, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 7, 4, 6, 4, 4, 4, 4, 6, 7, 4, 4],[15.250000,7.924466,124.292796,93.098853]
[2, 6, 1, 2, 3, 4, 4, 1, 3, 6, 7, 2, 4, 1, 1, 6, 1, 7, 2, 1, 4, 3, 1, 4, 6, 1, 1, 2, 7, 1, 6, 3, 4, 2, 3, 6, 7, 2, 1],[28.666667,7.924466,70.358650,96.731514]
[4, 6, 4, 4, 4, 4, 4, 4, 4, 7, 7, 4, 4, 4, 4, 6, 4, 7, 4, 4, 4, 4, 4, 4, 6, 4, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 2],[16.766667,8.076971,116.057803,93.577958]
[2, 6, 2, 2, 3, 4, 4, 5, 1, 6, 7, 1, 1, 1, 1, 6, 1, 7, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 7, 1, 6, 1, 1, 1, 1, 6, 7, 1, 1],[40.833333,7.924466,45.432623,98.047996]
[2, 6, 1, 2, 3, 1, 1, 5, 3, 6, 7, 2, 1, 5, 5, 6, 1, 7, 2, 5, 1, 1, 1, 4, 6, 1, 5, 2, 7, 5, 6, 1, 4, 2, 1, 6, 7, 2, 1],[28.700000,7.924466,67.595428,96.666737]
[2, 6, 2, 2, 3, 4, 4, 5, 3, 6, 7, 2, 4, 5, 5, 6, 2, 7, 2, 5, 4, 3, 2, 4, 6, 2, 4, 4, 7, 4, 6, 4, 4, 4, 4, 6, 7, 4, 4],[18.350000,7.924466,109.690401,94.244091]
[2, 6, 2, 2, 3, 4, 4, 5, 3, 6, 7, 2, 4, 5, 5, 6, 2, 7, 2, 5, 4, 3, 2, 4, 6, 2, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 1],[20.866667,7.924466,99.375966,94.977760]
[1, 6, 1, 1, 1, 1, 1, 1, 3, 6, 7, 2, 4, 5, 5, 6, 2, 7, 2, 5, 4, 3, 2, 4, 6, 2, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 2],[26.033333,7.924466,86.047564,95.750492]
[1, 6, 1, 1, 1, 1, 1, 1, 3, 6, 7, 2, 1, 5, 5, 6, 1, 7, 2, 5, 1, 1, 1, 4, 6, 1, 5, 2, 7, 5, 6, 1, 4, 2, 1, 6, 7, 2, 1],[29.866667,7.924466,61.198498,97.037528]
[2, 6, 1, 2, 3, 1, 1, 5, 3, 6, 7, 2, 4, 5, 5, 6, 2, 7, 2, 5, 4, 3, 2, 4, 6, 2, 5, 2, 7, 5, 6, 3, 4, 2, 3, 6, 7, 2, 2],[24.866667,7.924466,92.444494,95.379701]
[2, 6, 2, 2, 3, 4, 4, 5, 3, 6, 7, 2, 4, 5, 5, 2, 2, 7, 2, 5, 4, 3, 2, 4, 6, 2, 5, 2, 7, 5, 6, 4, 4, 2, 3, 6, 7, 2, 1],[18.033333,7.924466,102.224143,94.975617]
